user_id,rec_result
2259,"[874972, 1029743, 1082185, 951590, 1127831]"
379,"[874972, 1029743, 1082185, 951590, 1127831]"
2325,"[874972, 1029743, 1082185, 951590, 1127831]"
2375,"[1000753, 1036501, 899624, 1068719, 844179]"
1364,"[874972, 1029743, 1135834, 1082185, 961554]"
1130,"[947858, 1137775, 1082185, 5592931, 969866]"
1173,"[874972, 13842214, 5569471, 1082185, 1127831]"
98,"[947858, 1091858, 1018278, 1106523, 1082185]"
1172,"[874972, 963686, 1029743, 1004906, 1127831]"
1060,"[874972, 951590, 5569230, 940766, 892531]"
1351,"[874972, 1106523, 1048373, 1082185, 1004906]"
744,"[874972, 862349, 903325, 1137688, 1117514]"
212,"[874972, 1081189, 6534078, 981760, 916122]"
2052,"[874972, 9655679, 9419268, 1127831, 1082185]"
1287,"[874972, 1130375, 879528, 1082185, 908318]"
718,"[12810391, 1029743, 944486, 5592931, 1026118]"
2483,"[874972, 1082185, 995242, 1127831, 866211]"
1617,"[874972, 910032, 1106523, 1012587, 827683]"
240,"[874972, 1106523, 1101589, 1082185, 1127831]"
1843,"[874972, 951590, 1081177, 1127831, 866211]"
2305,"[874972, 1082185, 1029743, 951412, 6034857]"
1916,"[836445, 885290, 969866, 951590, 871756]"
480,"[874972, 5569471, 1082185, 951412, 1137688]"
271,"[874972, 986912, 8090532, 1082185, 1029743]"
255,"[874972, 5569230, 1115576, 1127831, 866211]"
985,"[874972, 1029743, 907647, 866211, 1004906]"
2371,"[874972, 1072523, 1025650, 1004906, 866211]"
347,"[874972, 1110409, 9487403, 1082185, 1127831]"
216,"[874972, 6533936, 974156, 1082185, 854852]"
1913,"[904129, 1093113, 832678, 1029743, 1082185]"
293,"[874972, 987562, 824005, 962568, 845208]"
2324,"[874972, 967760, 1057260, 901062, 944836]"
1345,"[874972, 1029743, 5569230, 1082185, 1127831]"
1016,"[874972, 1126899, 1110111, 944836, 995478]"
122,"[874972, 5569230, 940947, 1082185, 1004906]"
1238,"[874972, 962229, 879922, 844179, 1004906]"
1828,"[874972, 1126899, 1026058, 1055425, 6463874]"
1377,"[874972, 914190, 863802, 1127831, 1029743]"
2105,"[1038663, 1106523, 1058779, 5592931, 1118533]"
315,"[874972, 1028816, 837270, 1082185, 1127831]"
1289,"[829291, 1110572, 999581, 951590, 1044078]"
2095,"[874972, 1068719, 1133018, 1012587, 8090537]"
2192,"[874972, 1029688, 1028816, 1082185, 1127831]"
593,"[874972, 1106523, 5592931, 1044078, 1004906]"
2110,"[874972, 1026118, 1082185, 1028816, 7024990]"
2362,"[904129, 5588161, 1074754, 1044078, 1082185]"
2044,"[874972, 6034577, 1048068, 1127831, 1082185]"
2336,"[874972, 1029743, 909396, 899624, 923746]"
924,"[874972, 1029743, 951590, 5568378, 1101173]"
432,"[1038663, 1030093, 1089766, 1096036, 1106523]"
1116,"[874972, 1029743, 8090521, 1044078, 951590]"
304,"[829291, 1029743, 873627, 859075, 916122]"
1629,"[904129, 881154, 995916, 1082185, 1044078]"
